Org_ID,Organization_Name,Country,Geography_Region,Website,Cancer_Type_Focus,Org_Type,Annual_Budget_USD_approx,Research_Spend_USD_approx,Charity_Reg_Number,CEO_Executive_Director,CSO_Head_of_Research,Head_of_Grants,Board_Chair,Contact_Email_General,LinkedIn_CEO,Strategic_Priorities,Partnership_Programs,Datasets_Maintained,Notes
UK025,The Francis Crick Institute,UK,UK,crick.ac.uk,Pan-cancer (biomedical),Research Institute,300M GBP+,200M GBP+,1140062,Sir Paul Nurse (President & CEO),See website,research@crick.ac.uk,See website,info@crick.ac.uk,See website,Biomedical research including cancer biology,"CRUK, MRC, Wellcome, UCL, KCL, Imperial",None public,Income £246M; 9.9% 3yr CAGR
UK026,AMMF – The Cholangiocarcinoma Charity,UK,UK,ammf.org.uk,Bile duct cancer (rare),Charity/Research/Support,1M GBP+,0.5M GBP+,See Charity Commission,Helen Morement (Chief Executive Officer),See website,research@ammf.org.uk,Noel Corrigan,info@ammf.org.uk,See website,"Cholangiocarcinoma research, patient support, awareness","Academic centers, international collaborators",None public,World's first charity dedicated solely to cholangiocarcinoma
UK027,ACC Support UK,UK,UK,accsupport.org.uk,Adrenocortical cancer (ultra-rare),Charity/Patient Support,0.5M GBP+,,See Charity Commission,Unknown (needs verification),,,See website,info@accsupport.org.uk,See website,"Adrenocortical cancer patient support, information, counselling",Academic centers,None public,Specialist helpline; face-to-face information days
GL001,Union for International Cancer Control (UICC),Switzerland (Global),Global,uicc.org,Pan-cancer,International NGO/Advocacy,50M USD+,20M USD+,,Dr. Cary Adams (CEO),See website,grants@uicc.org,See website,info@uicc.org,See website,"Global cancer advocacy, capacity building, fellowships, grants","IARC, WHO, national cancer societies, pharma",None public,$2.5M+ in grants since 2016; Cancer Advocates programme; Technical Fellowships; Reimagining Cancer Research in Europe (€500K grants)
GL002,International Agency for Research on Cancer (IARC/WHO),France (Global),Global,iarc.who.int,Pan-cancer (epidemiology/prevention),UN Agency,53M EUR+,53M EUR+,,Dr. Elisabete Weiderpass (Director),See website,See website,See website,iarc@iarc.fr,See website,"Cancer epidemiology, carcinogen classification, GLOBOCAN, cancer registries","WHO, NCI, CRUK, European Commission, national cancer institutes","GLOBOCAN, IARC Monographs, CI5 (Cancer Incidence in Five Continents)",60th anniversary 2026; €52.9M expenses in 2024
GL003,European Organisation for Research and Treatment of Cancer (EORTC),Belgium (Global),Global,eortc.org,Pan-cancer (clinical trials),Non-profit Research Org,100M EUR+,80M EUR+,,Denis Lacombe (Director General),See website,grants@eortc.org,See website,info@eortc.org,See website,"Pan-European clinical trials, quality of life research, regulatory science","EU Commission, pharma, national cancer leagues","EORTC clinical trial data, QoL questionnaires",Independent; no direct government subsidy; EU-funded projects
GL004,World Cancer Research Fund International (WCRF),UK/Global,Global,wcrf.org,Pan-cancer (diet/lifestyle),International Charity,30M GBP+,20M GBP+,,Rachael Hutson (Chief Executive Officer),Dr Panagiota Mitrou (Executive Director of Research and Policy),grants@wcrf.org,See website,info@wcrf.org,See website,"Diet, nutrition, physical activity and cancer; cancer prevention recommendations","UICC, AICR (US arm), national WCRF orgs","WCRF/AICR Cancer Prevention Recommendations, Continuous Update Project",Regular Grant Programme: up to £500K/4yr; INSPIRE: up to £60K/1yr; deadline Nov 4 2025 (outline)
GL005,International Cancer Research Partnership (ICRP),USA/Global,Global,icrpartnership.org,Pan-cancer,Research Coordination Alliance,,,,Dr. John L. Marshall (Executive Director & CEO) [unverified],See website,See website,See website,info@icrpartnership.org,See website,"Global cancer research coordination, avoiding duplication, collaboration","NCI, CRUK, CIHR, Cancer Australia, French NCI, AMED (Japan), KWF (Netherlands)",ICRP database ($80B+ in cancer research grants from 114 orgs since 2000),Only public worldwide source of current/past cancer research grants
GL006,Reimagining Cancer Research in Europe (UICC initiative),Europe,Global,uicc.org/what-we-do/member-benefits/learning-and-development/grants/implementation-research-cancer,Pan-cancer (prevention),Grant Programme,,,,See UICC,See UICC,See UICC,See UICC,See UICC,See website,Cancer prevention implementation research in Europe,"UICC, KWF (Netherlands), Cancerfonden (Sweden), Danish Cancer Society, IARC, WCRF",None public,2nd call: Nov 14 2025 - Feb 16 2026; up to €500K/2yr; UK institutions eligible
GL007,Bertarelli Rare Cancer Initiative (BRCI),USA/Global,Global,fondation-bertarelli.org/life-sciences/bertarelli-rare-cancers-fund,Rare cancers (EWSR1 fusions),Foundation/Research Initiative,20M USD+,15M USD+,,George Demetri MD & Marcia Haigis PhD (Co-Directors),See website,See website,See website,info@fondation-bertarelli.org,See website,"Rare cancer research, EWSR1 fusion cancers, international hub","Harvard Medical School, HMS-affiliated hospitals",None public,Established at HMS 2019; evolving to international effort
GL008,Congressionally Directed Medical Research Programs – GBM (CDMRP),USA (Federal),US,cdmrp.health.mil/gbmrp,GBM,US Federal Grant Program,10M USD,10M USD,,See DoD,See DoD,cdmrp@mail.mil,See website,cdmrp@mail.mil,See website,"GBM research for Service Members, Veterans, and public","DoD, NCI, advocacy orgs",None public,$10M FY24 appropriation; stand-alone GBM Research Program
GL009,Canadian Cancer Society,Canada,Global,cancer.ca,Pan-cancer,Charity/Research/Advocacy,200M CAD+,50M CAD+,,Andrea Seale (CEO),See website,research@cancer.ca,See website,info@cancer.ca,See website,"Cancer research, patient support, advocacy across Canada","CIHR, academic centers, pharma",None public,National community-based organization
GL010,Cancer Australia,Australia,Global,canceraustralia.gov.au,Pan-cancer,Government Agency,50M AUD+,40M AUD+,,Dr. Andrew McLachlan (Chief Executive Officer) [unverified],See website,See website,See website,info@canceraustralia.gov.au,See website,"Cancer research funding, clinical guidelines, data","NHMRC, academic centers, advocacy orgs",Australian Cancer Database,Australian federal cancer agency; ICRP partner
GL011,Brain Tumor Funders Collaborative (BTFC),USA (Global),Global,braintumorfunders.org,Brain tumors,Collaborative Funder Network,,,,Unknown (needs verification),See website,See website,See website,info@braintumorfunders.org,See website,"Coordinated brain tumor research funding, liquid biopsy grants","NBTS, Sontag Foundation, Dragon Master Initiative, GBM Research Org, Southeastern Brain Tumor Foundation",None public,2024-2025 Liquid Biopsy Grants; partnership of private philanthropic orgs
